Site     Lat          Lon            Elev       N (mm)    err     E (mm)    err     U (mm)    err
UWEV     19.42087     -155.29113     1257.7     000.0     0.0     000.0     0.0     000.0     0.0
NUPM     19.38473     -155.17531     0933.4     000.0     0.0     000.0     0.0     000.0     0.0
AHUP     19.37911     -155.26610     1104.6     000.0     0.0     000.0     0.0     000.0     0.0
HOVL     19.40422     -155.27948     1129.0     000.0     0.0     000.0     0.0     000.0     0.0
CNPK     19.39223     -155.30564     1123.8     000.0     0.0     000.0     0.0     000.0     0.0
BYRL     19.41196     -155.26003     1099.1     000.0     0.0     000.0     0.0     000.0     0.0
NPIT     19.41227     -155.28099     1132.2     000.0     0.0     000.0     0.0     000.0     0.0
KOSM     19.36332     -155.31646     0990.1     000.0     0.0     000.0     0.0     000.0     0.0
OUTL     19.38692     -155.28081     1103.4     000.0     0.0     000.0     0.0     000.0     0.0
CRIM     19.39528     -155.27376     1147.5     000.0     0.0     000.0     0.0     000.0     0.0
MANE     19.33905     -155.27326     0996.4     000.0     0.0     000.0     0.0     000.0     0.0
HLNA     19.29325     -155.31022     0698.4     000.0     0.0     000.0     0.0     000.0     0.0
KFAP     19.43835     -155.44062     2073.6     000.0     0.0     000.0     0.0     000.0     0.0
AINP     19.37265     -155.45802     1567.9     000.0     0.0     000.0     0.0     000.0     0.0
GOPM     19.32232     -155.22235     0759.5     000.0     0.0     000.0     0.0     000.0     0.0
